algorithm,dataset,size,batch,run_in_batch,seed,runs,runtime,emissions_per_run,cpu_energy_per_run,ram_energy_per_run,energy_consumed_per_run
tim_sort,reverse_sorted,10000,0,3,45,16478,0.00012137641267144068,4.652407242875243e-12,8.453934100686642e-10,3.362138393278553e-10,1.1816072493965196e-09
bubble_sort,unsorted,1000,0,3,45,64,0.031305524234374715,1.1998793346425738e-09,2.1803422146267813e-07,8.670825833333576e-08,3.047424797960139e-07
insertion_sort,sorted,1000,0,3,45,165,0.012148706278788158,4.656685566606185e-10,8.462054132996721e-08,3.364884345117837e-08,1.1826938478114559e-07
quick_sort,sorted,1000,0,3,45,2235,0.0008948928751678122,3.428980034252876e-11,6.236637919462787e-09,2.4722034501614244e-09,8.708841369624213e-09
tim_sort,unsorted,1000,0,3,45,29369,6.80994757056761e-05,2.6097440998047738e-12,4.741746004385096e-10,1.8864195589832472e-10,6.628165563368342e-10
bubble_sort,almost_sorted,1000,0,3,45,98,0.020416522591836624,7.829358661090582e-10,1.4231039462867792e-07,5.6537781575963345e-08,1.988481762046413e-07
merge_sort,reverse_sorted,1000,0,3,45,1905,0.0010503232598424864,4.026801887691701e-11,7.317426655001407e-09,2.909748340624172e-09,1.0227174995625578e-08
bubble_sort,sorted,10000,0,3,45,1,2.3404073890000063,8.963609865609508e-08,1.6295495465278186e-05,6.47006620000007e-06,2.276556166527826e-05
bubble_sort,sorted,1000,0,3,45,109,0.018380957862385194,7.044757104821685e-10,1.280209060270261e-07,5.090014775739118e-08,1.7892105378441725e-07
tim_sort,sorted,1000,0,3,45,279917,7.144998838941678e-06,2.738223836700889e-13,4.974989964782909e-11,1.979485357365677e-11,6.954475322148584e-11
tim_sort,sorted,10000,0,3,45,22569,8.861940272054569e-05,3.3964119303838245e-12,6.171074516544429e-10,2.4550511628536057e-10,8.626125679398034e-10
bubble_sort,reverse_sorted,10000,0,3,45,1,4.758584353999822,1.81872539360577e-07,3.30819563402795e-05,1.3109595636111888e-05,4.61915519763914e-05
merge_sort,reverse_sorted,10000,0,3,45,167,0.012021497796406615,4.6081479407004353e-10,8.373193675149747e-08,3.330470103127301e-08,1.1703663778277047e-07
bubble_sort,reverse_sorted,1000,0,3,45,51,0.03990798496078705,1.5318807643218927e-09,2.7851334123096404e-07,1.1055006655772675e-07,3.890634077886908e-07
quick_sort,almost_sorted,10000,0,3,45,176,0.011363970789773248,4.349618782105906e-10,7.915293375158711e-08,3.131764237689686e-08,1.1047057612848397e-07
insertion_sort,reverse_sorted,10000,0,3,45,2,1.5879026050000675,6.073990062614778e-08,1.1048809545139684e-05,4.377764948611052e-06,1.5426574493750736e-05
tim_sort,unsorted,10000,0,3,45,1629,0.001228313305095062,4.709996790962978e-11,8.558352747084708e-09,3.4039843018893945e-09,1.19623370489741e-08
quick_sort,unsorted,10000,0,3,45,123,0.016301197552846546,6.247686803428201e-10,1.1350524796746936e-07,4.5172005194215854e-08,1.586772531616852e-07
